0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
18618030	BarBerry	1	Pune	1st Floor, Nandadeep Apartment, Above AU Small Finance Bank, FC Road, Pune	FC Road	FC Road, Pune	73.8416973129	18.5254246986	North Indian, Italian, Finger Food	1200	Rs.	0	0	0	0	3	4.2	5BA829	Very Good	1443
10125	Vaishali	1	Pune	1218/1, FC Road, Pune	FC Road	FC Road, Pune	73.8410837576	18.5209469756	South Indian, Street Food, Fast Food	500	Rs.	0	1	1	0	2	4.4	5BA829	Very Good	5086
10021	Darshan	1	Pune	759/60, Prabhat Road, Opposite Indian Bank, Deccan Gymkhana, Pune	Deccan Gymkhana	Deccan Gymkhana, Pune	73.8409570232	18.5140173212	Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts	700	Rs.	0	1	0	0	2	4.9	3F7E00	Excellent	2713
18678581	Hippie@Heart	1	Pune	Ground Floor, Lane 10, Besides HDFC Bank, Bhandarkar Road, Pune	Deccan Gymkhana	Deccan Gymkhana, Pune	73.8362567872	18.5187145874	Continental, Italian, North Indian, Finger Food, European	1300	Rs.	0	0	0	0	3	4.4	5BA829	Very Good	473
6507020	Hotel Neha	1	Pune	Shop 17/18, Patang Plaza, Phase 1, Opposite PICT, Katraj, Pune	Katraj	Katraj, Pune	73.8510223478	18.4570374097	North Indian, Chinese	350	Rs.	0	1	0	0	1	3.8	9ACD32	Good	589
18656211	Adi's Pure Veg	1	Pune	Trimurti Chowk, Phale Corner, Bharati Vidyapeeth, Katraj, Pune	Katraj	Katraj, Pune	73.8503484428	18.4570377277	North Indian, Chinese, Beverages, Cafe	600	Rs.	0	1	0	0	2	3.4	CDD614	Average	932
18652082	Akkies Kitchen	1	Pune	Katraj, Pune	Katraj	Katraj, Pune	73.8533660000	18.4563490000	Biryani	250	Rs.	0	1	0	0	1	3.5	9ACD32	Good	683
13000	Domino's Pizza	1	Pune	Ground Floor, Opposite Bharti Vidyapeeth Gate, Pune Satara Road	Katraj	Katraj, Pune	73.8521400000	18.4572700000	Pizza, Fast Food	700	Rs.	0	0	0	0	2	3.6	9ACD32	Good	752
12344	It'ss Yummyy	1	Pune	Shop 3, Dindayal Nagar, Bharti Vidyapeeth, Near New Katraj Dairy, Katraj, Pune	Katraj	Katraj, Pune	73.8535000384	18.4553842820	Fast Food, Healthy Food	350	Rs.	0	1	0	0	1	4.1	5BA829	Very Good	787
18292710	Raju Uncle's Chole Bhature	1	Pune	Survey 78/1A, Bharati Vihar, Katraj, Pune	Katraj	Katraj, Pune	73.8530179113	18.4574282681	Street Food	200	Rs.	0	1	0	0	1	4.2	5BA829	Very Good	478
18664684	Biryani B-Box	1	Pune	Chandrabhaga Nagar, Ambegaon BK, Katraj, Pune	Katraj	Katraj, Pune	73.8513623178	18.4520061019	Mughlai	400	Rs.	0	1	0	0	1	4.0	5BA829	Very Good	560
12349	Aangan Veg Restaurant	1	Pune	Behind Bharti Vidyapeeth, Katraj, Pune	Katraj	Katraj, Pune	73.8535372540	18.4553276721	North Indian, South Indian, Street Food, Fast Food, Chinese, Beverages	600	Rs.	0	1	0	0	2	3.7	9ACD32	Good	564
18545151	Master Egg	1	Pune	Shop 9,  Scholar Inn Building, Bharti Vidyapeeth Back Gate, Katraj, Pune	Katraj	Katraj, Pune	73.8533002138	18.4566719929	Street Food	250	Rs.	0	1	0	0	1	4.1	5BA829	Very Good	344
18520322	Karkhana	1	Pune	Shop 1, Platina Building, Besides Bank Of Maharashtra, Bavdhan, Pune	Bavdhan	Bavdhan, Pune	73.7819853053	18.5156937275	North Indian, Fast Food, Momos	750	Rs.	0	0	0	0	2	4.2	5BA829	Very Good	777
10632	Trikaya	1	Pune	3rd Floor, Aditya Shagun Mall, NDA-Pashan Road, Bavdhan Khurd, Bavdhan, Pune	Aditya Shagun Mall, Bavdhan	Aditya Shagun Mall, Bavdhan, Pune	73.7784722820	18.5193065451	Chinese, Thai, Malaysian, Indonesian, Asian, North Indian	2000	Rs.	0	1	0	0	4	4.0	5BA829	Very Good	1314
6504858	CAFE PETER	1	Pune	Shop 2-3, WGH, NDA Pashan Road, Opposite HP Petrol Pump, Bavdhan KH	Bavdhan	Bavdhan, Pune	73.7818267196	18.5104517636	Cafe, Desserts, Salad	700	Rs.	0	1	0	0	2	4.0	5BA829	Very Good	626
12064	I'm Lion, Strictly Non-Veg	1	Pune	U10, Navkar Avenue, 1st Floor, Near Axis Bank, NDA Pashan Road, DSK Raanwara Lane, Bavdhan, Pune	Bavdhan	Bavdhan, Pune	73.7781705335	18.5201792179	Mangalorean, Goan, Seafood, Konkan	800	Rs.	0	1	0	0	2	4.2	5BA829	Very Good	711
10730	D Palace	1	Pune	2/1, Patil Palace, NDA-Pashan Road, Bavdhan Khurd, Pune-21, Near Chandni Chowk	Bavdhan	Bavdhan, Pune	73.7802529335	18.5176244516	North Indian, Chinese, Seafood	900	Rs.	0	1	0	0	2	3.8	9ACD32	Good	297
6505234	Oliva Veg	1	Pune	Plot 39, Serial 1/10-16, Bavdhan-Pashan Road	Bavdhan	Bavdhan, Pune	73.7814535573	18.5163292507	Chinese, North Indian, Italian, Pizza	850	Rs.	0	1	0	0	2	3.7	9ACD32	Good	438
11035	Tasty Tongues Chaats	1	Pune	2 & 2A, Sukhwani Prestige, Sagar Cooperative Society, NDA Pashan Road	Bavdhan	Bavdhan, Pune	73.7820409611	18.5150696472	North Indian, Street Food	500	Rs.	0	1	0	0	2	3.6	9ACD32	Good	446
10041	Vardayini Pure Veg	1	Pune	Rajvilas Heights, Near Aditya Shagun Hall, NDA Pashan Road, Bavdhan Khurd, Bavdhan, Pune	Bavdhan	Bavdhan, Pune	73.7786315382	18.5197233304	Chinese, Continental, North Indian, Italian, South Indian	700	Rs.	0	1	1	0	2	3.7	9ACD32	Good	456
10831	Domino's Pizza	1	Pune	1, Ground Floor, White House, 20, Amchi Colony, Pashan Road	Bavdhan	Bavdhan, Pune	73.7816700000	18.5166300000	Pizza, Fast Food	700	Rs.	0	0	0	0	2	3.3	CDD614	Average	400
18704469	Linkin Barrel	1	Pune	A-501, The Capital Building, A Wing, Baner-Pashan Link Road, Baner, Pune	Baner	Baner, Pune	73.7938691676	18.5522679128	Continental, Modern Indian, North Indian	1300	Rs.	0	0	0	0	3	4.2	5BA829	Very Good	538
11817	Rangla Punjab	1	Pune	Near Kumar Papillon, Bangalore  Mumbai Highway, Off Sus Pashan Road, Pashan, Pune	Pashan	Pashan, Pune	73.7762252614	18.5425327484	North Indian, Kebab, Biryani, Chinese, Seafood	800	Rs.	0	0	0	0	2	3.9	9ACD32	Good	1575
6505821	BottleRock Restaurant & Bar	1	Pune	Opposite Oxford Nissan Showroom, Near DC Designs, Sus Pashan Road, Pashan, Pune	Pashan	Pashan, Pune	73.7727923691	18.5469523727	Continental, North Indian, Chinese, Seafood	1500	Rs.	0	0	0	0	3	3.8	9ACD32	Good	1345
18425279	Origin Bistro	1	Pune	The Capital, Shop 2A, Baner-Pashan Link Road, Baner, Pune	Baner	Baner, Pune	73.7937642261	18.5518359499	Continental, Italian, European	600	Rs.	0	1	1	0	2	4.3	5BA829	Very Good	636
18591342	Barbeque Village	1	Pune	45, Sus -Parshan Bridge, Near Mahindra, Pune Mumbai -Bangalore Highway, Pashan, Pune	Pashan	Pashan, Pune	73.7723769620	18.5492644924	North Indian, Awadhi, BBQ	1200	Rs.	0	0	0	0	3	3.5	9ACD32	Good	668
18429362	The Quick Wok	1	Pune	Shop 1, Regent Plaza, Baner Pashan Link Road, Baner, Pune	Baner	Baner, Pune	73.7930162251	18.5521522142	Chinese, Thai	600	Rs.	0	1	0	0	2	4.1	5BA829	Very Good	717
18529624	The Greedy Man Pizzeria	1	Pune	Shop 8/9, Capital One Building, Baner-Pashan Link Road, Baner, Pune	Baner	Baner, Pune	73.7939915434	18.5524049074	Italian, Pizza	650	Rs.	0	1	0	0	2	4.0	5BA829	Very Good	413
6503743	Pagdandi Books Chai Cafe	1	Pune	Shop 6, Regent Plaza, Baner Pashan Link Road, Behind Symantec, Baner, Pune	Baner	Baner, Pune	73.7931030616	18.5522583772	Cafe, Bakery, Fast Food, Juices	250	Rs.	0	0	0	0	1	4.5	3F7E00	Excellent	837
10822	Tsaai Sshen Yeh	1	Pune	Shop 3, Echelon Building, Baner-Sus Link Road, Baner, Pune	Baner	Baner, Pune	73.7931124493	18.5519894733	Chinese, Seafood	850	Rs.	0	1	1	0	2	4.1	5BA829	Very Good	708
18624743	Laa Unico	1	Pune	Arihant Aura Building, Above Comet Stationery, Next to Sujay Garden, Commercial Complex, Near Laxmi Narayan Theatre, Mukundnagar, Swargate, Pune	Swargate	Swargate, Pune	73.8591739163	18.4967140553	Italian, Mexican, Continental, Modern Indian	1100	Rs.	0	1	0	0	3	4.7	3F7E00	Excellent	1180
